,City,Hotel_name,Location,Reviews,Star_rating,Actual_price,Discount,Price
0,gurgaon,OYO Flagship 80462 Hotel Jas Inn,"Gurudwara Road, Gurgaon",,NEW,₹2424,75% off,₹599
1,gurgaon,OYO 27864 Hotel Samrat,"Near Bus Stand, Sadar Bazar, Gurgaon",Very Good,4.2,₹2072,75% off,₹514
2,gurgaon,OYO Flagship 703209 The Grand Palm,"near MEDANTA hospital, Gurgaon",,2.8,₹2197,65% off,₹769
3,gurgaon,Collection O 703320 Pacific Homes,"sector 38, Gurgaon",Fair,4.1,₹2912,79% off,₹599
4,gurgaon,OYO Flagship 704000 Blue Heaven,"Gurgaon, Gurgaon",Very Good,NEW,₹3485,84% off,₹549
5,gurgaon,Collection O 79270 Collection O Hotel Aditya Palace,"Sec 17, Gurgaon",Very Good,4.3,₹2102,71% off,₹589
6,gurgaon,OYO Flagship 703990 Hotel Dream View,"Gurugram, Gurgaon",Very Good,NEW,₹2424,74% off,₹616
7,gurgaon,OYO Townhouse KK STAY HOMES,"India Gurgaon HaryanaIndia, Gurgaon",Good,4.2,₹2669,74% off,₹673
8,gurgaon,Capital O 702895 Sagarmatha Hotel near Medanta Hospital,", Gurgaon",Good,3.5,₹2368,72% off,₹663
9,gurgaon,OYO 37096 A2k Residency,"Near Pushpanjali Hospital, Civil Lines, Gurgaon",Very Good,3.9,₹2122,72% off,₹594
10,gurgaon,Capital O 84923 Hotel Crown Inn,"Sector 31, Gurgaon",,4.0,₹2060,69% off,₹621
11,gurgaon,OYO 79192 The Doors,"Sector 14, Gurgaon",Good,3.9,₹2424,73% off,₹638
12,gurgaon,OYO 44130 Hotel Devi Palace Inn,"new railway road ,near sheetla hospital ,subhash nagar gurgaon ",Very Good,4.4,₹1889,72% off,₹529
13,gurgaon,OYO Townhouse 1114 Saltstayz Sec-46,"Sector 46, Gurgaon",Good,3.5,₹2904,68% off,₹915
14,gurgaon,OYO SilverKey 75658 Sector 38,"Near Medanta The Medicity, Sector 38, Gurgaon",Very Good,4.3,₹3804,72% off,₹1065
15,gurgaon,OYO Townhouse 213 Artemis Hospital,"Sector 46, Gurgaon",Very Good,4.3,₹3714,72% off,₹1040
16,gurgaon,OYO Townhouse 283 Saltstayz,"Plot No 75 sector-28, Golf course road",Very Good,4.3,₹4219,71% off,₹1182
17,gurgaon,OYO Flagship 80464J Classic Hotel Sector 14,"Gurugram , Gurgaon",Fair,2.0,₹2424,75% off,₹599
18,gurgaon,OYO 62899 Avni Residency,"Sector 14, Gurgaon",Good,3.9,₹2549,71% off,₹714
19,gurgaon,OYO 10020 Golf Stays,"Near Shiv Nadar School, DLF Phase 1, Gurgaon",Good,3.9,₹2052,73% off,₹534
20,gurgaon,OYO 26868 Wonderland Inn,"Sector 24, Gurgaon",Fair,2.4,₹2150,76% off,₹497
21,gurgaon,OYO Townhouse 398 Cloud Bay,"Sector 69 Nearby Tulip White Society, Gurgaon",,4.7,₹4231,71% off,₹1185
22,gurgaon,OYO Townhouse 513 Hotel Skylight,"Near Medanta Hospital Sector 38,Gurgaon",Excellent,4.5,₹4159,64% off,₹1456
23,gurgaon,OYO Flagship 704000 Blue Heaven,"Gurgaon, Gurgaon",Excellent,NEW,₹3485,84% off,₹549
24,gurgaon,Capital O 325 Hotel Silver Star,"Near Medanta Hospital, Medicity, Gurgaon",Good,3.8,₹2356,78% off,₹497
25,gurgaon,OYO Townhouse 755 Hotel Maharaja,"Sector 38, Gurgaon",Excellent,4.5,₹3765,64% off,₹1318
26,gurgaon,OYO 91606 Hotel Daffodils Inn,"Sector 47 Gurgaon, Gurgaon",Fair,3.4,₹1817,72% off,₹497
27,gurgaon,OYO 79192 The Doors,"Sector 14, Gurgaon",Good,3.9,₹2424,73% off,₹638
28,gurgaon,Capital O 71276 Hotel Bms,"Near Unitech Cyber Park, South City -1, Gurgaon",,3.4,₹2204,77% off,₹505
29,gurgaon,OYO 42214 Hotel Grand Casa,"Near DLF Phase 3, V Block, Gurgaon",Fair,3.5,₹2348,76% off,₹549
30,gurgaon,OYO Townhouse 283 Saltstayz,"Plot No 75 sector-28, Golf course road",Good,4.3,₹4219,71% off,₹1182
31,gurgaon,OYO 91814 The Majestic Residency,"Gurgaon, Gurgaon",Very Good,3.3,₹2077,73% off,₹559
32,gurgaon,Collection O 87877 Prince Palace,"Sector 52, Gurgaon",Fair,3.8,₹1867,65% off,₹653
